object_id,object_type,current_name,suggested_name,suggested_action,issue_types,province,road,lat,lon
vn-toll-clean-076,toll_station,Trạm thu phí Tam Nông,Trạm thu phí Tam Nông,keep,,Phú Thọ,,21.2433177,105.3260139
vn-toll-gmaps-chij3whjiascoderoc1smos1xbs,toll_station,Trạm thu phí TASCO Quảng Bình,Trạm thu phí TASCO Quảng Bình,keep,osm_placeholder_name;source_name_conflict,Quảng Bình,,17.890216,106.450909
vn-toll-clean-083,toll_station,Trạm thu phí Thanh Lương,Trạm thu phí Thanh Lương,keep,,Đồng Nai,QL13,11.7228358,106.5832213
vn-toll-clean-081,toll_station,Trạm thu phí Thuận Phú,Trạm thu phí Thuận Phú,keep,,Đồng Nai,ĐT741,11.577385,106.8944299
vn-toll-gmaps-chijj9dxbz8nntery-h6eafxdse,toll_station,Trạm thu phí Thái Nguyên - Chợ Mới,Trạm thu phí Thái Nguyên - Chợ Mới,keep,osm_placeholder_name;source_name_conflict,Thái Nguyên,,21.644094,105.785999
vn-toll-clean-070,toll_station,Trạm thu phí Thân Cửu Nghĩa,Trạm thu phí Thân Cửu Nghĩa,keep,,Đồng Tháp,Cao Tốc TPHCM - Trung Lương,10.4310606,106.3155488
vn-toll-gmaps-chij2u3hfygxntercaydyf0qoz0,toll_station,Trạm thu phí Thường Tín,Trạm thu phí Thường Tín,keep,,Hà Nội,,20.868904,105.881732
vn-toll-gmaps-chijq6qqvpajnterc3bdyznisgo,toll_station,Trạm thu phí Tiên Cựu,Trạm thu phí Tiên Cựu,keep,osm_placeholder_name;multiple_name_variants;source_name_conflict,Hải Phòng,QL10,20.776437,106.507622
vn-toll-gmaps-chijn971o90jszer78zwgq8ytn0,toll_station,Trạm thu phí Tiên Yên,Trạm thu phí Tiên Yên,keep,,Quảng Ninh,,21.308659,107.476059
vn-toll-gmaps-chijoz7tsyhkdderuzx9tyaqzms,toll_station,Trạm thu phí Trảng Bom,Trạm thu phí Trảng Bom,keep,multiple_name_variants,Đồng Nai,QL1A,10.945377,107.057444
vn-toll-gmaps-chijcv-ebxcqddermzadhaixx-y,toll_station,Trạm thu phí Tân Khai,Trạm thu phí Tân Khai,keep,,Đồng Nai,QL13,11.569838,106.617318
vn-toll-clean-084,toll_station,Trạm thu phí Tân Lập,Trạm thu phí Tân Lập,keep,,Đồng Nai,ĐT741,11.3881366,106.8255669
vn-toll-gmaps-chiji0v06xubqjerrwh9hpq-lco,toll_station,Trạm thu phí Túy Loan,Trạm thu phí Túy Loan,keep,,Đà Nẵng,,15.972891,108.162804
vn-toll-gmaps-chij1umhywbvaderfo0oqudtkge,toll_station,Trạm thu phí Tư Nghĩa,Trạm thu phí Tư Nghĩa,keep,osm_placeholder_name;source_name_conflict,Quảng Ngãi,,15.063359,108.839193
vn-toll-gmaps-chij180vwgctndertlpjgciqgh4,toll_station,Trạm thu phí Việt Trì (IC7),Trạm thu phí Việt Trì (IC7),keep,multiple_name_variants,Phú Thọ,CT05,21.365264,105.380222
vn-toll-gmaps-chij3dxy82ftnderbrdtq0yxuy8,toll_station,Trạm thu phí Văn Quán (IC6),Trạm thu phí Văn Quán (IC6),keep,osm_placeholder_name;source_name_conflict,Phú Thọ,,21.355073,105.463963
vn-toll-clean-073,toll_station,Trạm thu phí Vĩnh Phú,Trạm thu phí Vĩnh Phú,keep,,Hồ Chí Minh,,10.886868,106.6997385
vn-toll-gmaps-chij31y5uv-3nter2gdin-t5rck,toll_station,Trạm thu phí Vạn Điểm,Trạm thu phí Vạn Điểm,keep,,Hà Nội,,20.773832,105.907281
vn-toll-gmaps-chijbzrtactinterbkvnikiwtao,toll_station,Trạm thu phí Vực Vòng,Trạm thu phí Vực Vòng,keep,,Ninh Bình,,20.645327,105.938495
vn-toll-gmaps-chijq32qgjhfnderqfmgxjirylu,toll_station,Trạm thu phí Xuân Mai - Hòa Bình,Trạm thu phí Xuân Mai - Hòa Bình,keep,multiple_name_variants,Hòa Bình,QL6,20.870306,105.513575
vn-toll-gmaps-chijy0pvdki7nterxrsufrtk7-0,toll_station,Trạm thu phí Yên Mỹ,Trạm thu phí Yên Mỹ,keep,osm_placeholder_name;source_name_conflict,Hưng Yên,,20.850209,106.027549
vn-toll-gmaps-chijizmkglgeoderl3wwuangeo8,toll_station,Trạm thu phí Ô Môn,Trạm thu phí Ô Môn,keep,osm_placeholder_name;source_name_conflict,Cần Thơ,,10.111717,105.648978
vn-toll-gmaps-chijldpaqq0aqjermirp-ousmjs,toll_station,Trạm thu phí Điện Bàn,Trạm thu phí Điện Bàn,keep,osm_placeholder_name;multiple_name_variants;source_name_conflict,Đà Nẵng,,15.930527,108.228712
vn-toll-clean-072,toll_station,Trạm thu phí ĐT741,Trạm thu phí ĐT741,keep,multiple_name_variants,Hồ Chí Minh,ĐT741,11.2218334,106.7252837
